,PYDX_SCRE_NUM,CURR_NUM_LICENSES,TRUE_LOGIN,USAGE_SCORE,EMP_CNT,CUSTOMER_REVENUE,HAS_TAX_EXEMP,HAS_30DAY_EXTXN,PAST_DUE_FLG,LATE_PMT_GT_30,DAYS_TO_PAY,TOTAL_AMOUNT,CR_CHK_CD_Approved,CR_CHK_CD_Credit Data Not Found,CR_CHK_CD_Credit Hold,CR_CHK_CD_Defer Revenue,CR_CHK_CD_Payment Plan,CR_CHK_CD_Prepayment,CUST_STAT_Attrited Customer,CUST_STAT_Direct Customer,CUST_STAT_Indirect Customer,CUST_STAT_Prospect,INDUSTRY_NM_Agriculture & Mining,INDUSTRY_NM_Education,INDUSTRY_NM_Energy & Utilities,"INDUSTRY_NM_Engineering, Construction, & Real Estate",INDUSTRY_NM_Financial_Services,INDUSTRY_NM_Health_Care,INDUSTRY_NM_High_Tech,INDUSTRY_NM_Manufacturing,INDUSTRY_NM_Nonprofit Institutions,INDUSTRY_NM_Other,CRNCY_ISO_CD_AUD,CRNCY_ISO_CD_CAD,CRNCY_ISO_CD_EUR,CRNCY_ISO_CD_GBP,CRNCY_ISO_CD_JPY,CRNCY_ISO_CD_SEK,CRNCY_ISO_CD_USD,COLLECTION_STATUS_Courtesy Contact,COLLECTION_STATUS_E-invoicing,COLLECTION_STATUS_Financial Inability To Pay,COLLECTION_STATUS_Invoice Correction Required,COLLECTION_STATUS_NONE,COLLECTION_STATUS_Non-Responsive,COLLECTION_STATUS_Promise To Pay,COLLECTION_STATUS_Red Account,COLLECTION_STATUS_Refusal To Pay,COLLECTION_STATUS_Tax,COLLECTION_STATUS_Willingness To Pay,ESCALATION_STATUS_Awaiting AE Involvement/Action,ESCALATION_STATUS_Escalated To Order Management,ESCALATION_STATUS_NONE,ESCALATION_STATUS_Pending AE Response/Involvement,BILLING_COUNTRY_AE,BILLING_COUNTRY_AR,BILLING_COUNTRY_AT,BILLING_COUNTRY_AU,BILLING_COUNTRY_BE,BILLING_COUNTRY_BR,BILLING_COUNTRY_CA,BILLING_COUNTRY_CH,BILLING_COUNTRY_CL,BILLING_COUNTRY_CN,BILLING_COUNTRY_CO,BILLING_COUNTRY_CR,BILLING_COUNTRY_CY,BILLING_COUNTRY_CZ,BILLING_COUNTRY_DE,BILLING_COUNTRY_DK,BILLING_COUNTRY_DO,BILLING_COUNTRY_EC,BILLING_COUNTRY_EG,BILLING_COUNTRY_ES,BILLING_COUNTRY_FI,BILLING_COUNTRY_FR,BILLING_COUNTRY_GB,BILLING_COUNTRY_GR,BILLING_COUNTRY_HK,BILLING_COUNTRY_HR,BILLING_COUNTRY_HU,BILLING_COUNTRY_ID,BILLING_COUNTRY_IE,BILLING_COUNTRY_IL,BILLING_COUNTRY_IN,BILLING_COUNTRY_IS,BILLING_COUNTRY_IT,BILLING_COUNTRY_JE,BILLING_COUNTRY_JP,BILLING_COUNTRY_KE,BILLING_COUNTRY_KR,BILLING_COUNTRY_LB,BILLING_COUNTRY_LI,BILLING_COUNTRY_LK,BILLING_COUNTRY_LS,BILLING_COUNTRY_LU,BILLING_COUNTRY_MA,BILLING_COUNTRY_MT,BILLING_COUNTRY_MX,BILLING_COUNTRY_MY,BILLING_COUNTRY_NG,BILLING_COUNTRY_NL,BILLING_COUNTRY_NO,BILLING_COUNTRY_NZ,BILLING_COUNTRY_PE,BILLING_COUNTRY_PH,BILLING_COUNTRY_PK,BILLING_COUNTRY_PL,BILLING_COUNTRY_PR,BILLING_COUNTRY_PT,BILLING_COUNTRY_QA,BILLING_COUNTRY_RO,BILLING_COUNTRY_RU,BILLING_COUNTRY_SA,BILLING_COUNTRY_SE,BILLING_COUNTRY_SG,BILLING_COUNTRY_SI,BILLING_COUNTRY_SK,BILLING_COUNTRY_SN,BILLING_COUNTRY_TH,BILLING_COUNTRY_TN,BILLING_COUNTRY_TR,BILLING_COUNTRY_TW,BILLING_COUNTRY_TZ,BILLING_COUNTRY_US,BILLING_COUNTRY_VE,BILLING_COUNTRY_ZA,BILLING_LANGUAGE_Chinese (Simplified),BILLING_LANGUAGE_Dutch,BILLING_LANGUAGE_English,BILLING_LANGUAGE_French,BILLING_LANGUAGE_German,BILLING_LANGUAGE_Italian,BILLING_LANGUAGE_Japanese,BILLING_LANGUAGE_Portuguese (Brazilian),BILLING_LANGUAGE_Spanish,PAYMENT_TERM_Net0,PAYMENT_TERM_Net30,PAYMENT_TERM_Net30EOM,PAYMENT_TERM_Net45,PAYMENT_TERM_Net60,PAYMENT_TERM_Net60EOM,PAYMENT_TYPE_Check,PAYMENT_TYPE_Wire Transfer,CURRENCY_CODE_AUD,CURRENCY_CODE_CAD,CURRENCY_CODE_EUR,CURRENCY_CODE_GBP,CURRENCY_CODE_JPY,CURRENCY_CODE_SEK,CURRENCY_CODE_USD
9,82.0,68.0,80.0,83.0,40.0,838855.792,0,1,0,1,95.0,54003.0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
11,70.0,3685.0,4.0,83.0,42000.0,10724000000.0,0,1,0,0,-59.0,20682.0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1
19,92.0,80.0,82.0,87.0,150.0,17580670.736479998,0,1,0,0,5.0,89298.18299839999,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
20,185.0,49.0,59.0,42.0,62.0,7293158.92965738,0,1,0,0,10.0,95722.85705305207,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
23,62.0,18.0,14.0,58.0,44.0,0.0,0,1,0,0,-9.0,5566.9074512,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0
26,27.0,222.0,25.0,87.0,350.0,14554000.0,0,1,0,0,8.0,3077.6348,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
33,65.0,723.0,83.0,83.0,14350.0,8762274000.0,0,1,0,1,51.0,1454.634,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
37,200.0,252.0,76.0,60.0,300.0,117979320.0,0,1,0,1,79.0,105.06456000000001,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
48,200.0,369.0,24.0,59.0,42.0,1532000.0,0,1,0,0,11.0,73762.5828,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
69,35.0,192.0,72.0,58.0,6000.0,113236760.454,0,1,0,1,123.0,12868.8,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1
